,Area,Item,Unit,Value,Sentence
226886,Sub-Saharan Africa,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,48,In Sub-Saharan Africa the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is 48 %
226907,Sub-Saharan Africa,Prevalence of low birthweight (percent),%,13.9,In Sub-Saharan Africa the Prevalence of low birthweight (percent) is 13.9 %
226952,Sub-Saharan Africa,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1724,In Sub-Saharan Africa the Minimum dietary energy requirement  (kcal/cap/day) is 1724 kcal/cap/d
226976,Sub-Saharan Africa,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2221,In Sub-Saharan Africa the Average dietary energy requirement (kcal/cap/day) is 2221 kcal/cap/d
226997,Sub-Saharan Africa,Average fat supply (g/cap/day) (3-year average),g/cap/d,52.7,In Sub-Saharan Africa the Average fat supply (g/cap/day) (3-year average) is 52.7 g/cap/d
227019,Sub-Saharan Africa (including Sudan),Average dietary energy supply adequacy (percent) (3-year average),%,108,In Sub-Saharan Africa (including Sudan) the Average dietary energy supply adequacy (percent) (3-year average) is 108 %
227043,Sub-Saharan Africa (including Sudan),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2444,In Sub-Saharan Africa (including Sudan) the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2444 kcal/cap/d
227065,Sub-Saharan Africa (including Sudan),Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2453,In Sub-Saharan Africa (including Sudan) the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2453 kcal/cap/d
227086,Sub-Saharan Africa (including Sudan),"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,63,"In Sub-Saharan Africa (including Sudan) the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 63 %"
227107,Sub-Saharan Africa (including Sudan),Average protein supply (g/cap/day) (3-year average),g/cap/d,61.2,In Sub-Saharan Africa (including Sudan) the Average protein supply (g/cap/day) (3-year average) is 61.2 g/cap/d
227128,Sub-Saharan Africa (including Sudan),Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,13.3,In Sub-Saharan Africa (including Sudan) the Average supply of protein of animal origin (g/cap/day) (3-year average) is 13.3 g/cap/d
227151,Sub-Saharan Africa (including Sudan),"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,4375.5,"In Sub-Saharan Africa (including Sudan) the Gross domestic product per capita, PPP, (constant 2017 international $) is 4375.5 Int$/cap"
227173,Sub-Saharan Africa (including Sudan),Prevalence of undernourishment (percent) (3-year average),%,22.2,In Sub-Saharan Africa (including Sudan) the Prevalence of undernourishment (percent) (3-year average) is 22.2 %
227197,Sub-Saharan Africa (including Sudan),Prevalence of undernourishment (percent) (annual value),%,22.8,In Sub-Saharan Africa (including Sudan) the Prevalence of undernourishment (percent) (annual value) is 22.8 %
227243,Sub-Saharan Africa (including Sudan),Number of people undernourished (million) (annual value),million No,283.5,In Sub-Saharan Africa (including Sudan) the Number of people undernourished (million) (annual value) is 283.5 million No
227395,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,23.1,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 23.1 %
227403,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,22.6,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 22.6 %
227411,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,23.6,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 23.6 %
227421,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,23.1,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 23.1 %
227431,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,22.6,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 22.6 %
227441,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the male adult population (percent) (annual value),%,23.6,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the male adult population (percent) (annual value) is 23.6 %
227449,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,23.5,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 23.5 %
227457,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,23,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 23 %
227465,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,24,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 24 %
227475,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,23.4,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 23.4 %
227485,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,23,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 23 %
227495,Sub-Saharan Africa (including Sudan),Prevalence of severe food insecurity in the female adult population (percent) (annual value),%,23.9,In Sub-Saharan Africa (including Sudan) the Prevalence of severe food insecurity in the female adult population (percent) (annual value) is 23.9 %
227647,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,61.9,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 61.9 %
227655,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,61.3,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 61.3 %
227663,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,62.6,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 62.6 %
227673,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,62.4,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 62.4 %
227683,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,61.7,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 61.7 %
227693,Sub-Saharan Africa (including Sudan),Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value),%,63.1,In Sub-Saharan Africa (including Sudan) the Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value) is 63.1 %
